sample_id,class_label,class_name,soil_moisture,duration,snr_db,feature_rms,feature_peak_to_peak,feature_std,feature_mean_abs,feature_zero_crossing_rate,feature_spectral_centroid,feature_stft_mean_power,feature_stft_max_power,feature_low_freq_energy,feature_high_freq_energy,feature_freq_ratio,feature_periodicity_period_seconds,feature_periodicity_frequency_hz,feature_periodicity_num_peaks,feature_periodicity_max_correlation,feature_envelope_mean,feature_envelope_std,feature_envelope_max
train_elephant_footfall_0000,0,elephant_footfall,30,5.0,12.598782366162297,0.0025698997342936416,0.03815088752435927,0.002716037314303453,0.0012084719510695745,0.044,28.252916510978306,3.2647062907270655e-05,0.0043750244004505555,0.0004452238458878366,4.7456871782182875e-05,9.381651785463674,1.617,0.6184291898577613,1.0,0.31845528034325504,0.00201322278856262,0.003194742715297013,0.017717416535096175
train_elephant_footfall_0001,0,elephant_footfall,5,5.0,19.148076632013137,0.003281385418543624,0.03328535418625528,0.003354602731802907,0.0018974642859623636,0.0234,25.995339530633327,4.7042011651167256e-05,0.0039001288507941874,0.0007204201304757935,3.934586712574603e-05,18.309931464298202,0.0,0.0,0.0,0.0,0.0030503744602919307,0.0035673363797510604,0.016875819737904647
train_elephant_footfall_0002,0,elephant_footfall,15,5.0,13.607614326423484,0.010887301918070929,0.10531678581656276,0.011167945657744816,0.007325402924196061,0.0266,25.809840872990197,0.00018295154115883342,0.016927131740925583,0.002590343048566328,0.0002345441550100043,11.044159460958808,0.0,0.0,0.0,0.0,0.01199397565124292,0.009936455478395294,0.05644075652958107
train_elephant_footfall_0003,0,elephant_footfall,10,5.0,18.47019217906601,0.0027065542883000894,0.0262193381389485,0.002680900475035393,0.0015515978784857885,0.0278,22.141207734033678,3.8412014345633125e-05,0.0030783988168825854,0.000574978440503842,3.849502129330727e-05,14.936436484159254,0.0,0.0,0.0,0.0,0.0025397375801027907,0.002748989970431967,0.013789749840445028
train_elephant_footfall_0004,0,elephant_footfall,30,5.0,17.800832489234498,0.004045111685962333,0.03635594842266285,0.004038236913006724,0.0024672209463200223,0.0268,21.04891488735296,6.123465844955706e-05,0.004869884127141908,0.0009217942772865359,8.321382724429542e-05,11.077417153045655,0.0,0.0,0.0,0.0,0.004021579019020562,0.003942065981467294,0.019595299002375586
train_elephant_footfall_0005,0,elephant_footfall,10,5.0,15.484731373426499,0.0018185009761783892,0.017597953505347482,0.0018750680070831,0.0010729081690275808,0.031,23.645162432354727,2.6596086645353504e-05,0.0023112514989393693,0.0004082435866261108,2.7447810201571638e-05,14.873448323492674,0.0,0.0,0.0,0.0,0.0017886034914070042,0.001921377365148473,0.01020329140173349
train_elephant_footfall_0006,0,elephant_footfall,5,5.0,19.26756692481478,0.0012099191785673819,0.012290519581552865,0.0012171670119278661,0.0006391945891347055,0.0262,19.73161730960118,1.4347206595331264e-05,0.0017386347090514022,0.00024307570701713108,1.0177150457930131e-05,23.884456461751945,2.535,0.3944773175542406,1.0,0.324718900901544,0.001034692212568628,0.0013576913914553539,0.006309854533594804
train_elephant_footfall_0007,0,elephant_footfall,15,5.0,14.022691704150194,0.0031160633744201616,0.045088996999230135,0.003255190145858111,0.0015069114212712606,0.0434,33.14083231485244,3.712585773296324e-05,0.005678016021453652,0.0005205258507864624,6.186296431342032e-05,8.414175695643824,0.0,0.0,0.0,0.0,0.0023833506305988915,0.003867738553237113,0.022103827570678438
train_elephant_footfall_0008,0,elephant_footfall,25,5.0,18.549459249921405,0.006946009147343729,0.09809903702232403,0.007112872454856297,0.003077655384840763,0.0338,29.995707806471188,7.887650525168514e-05,0.011660989952493433,0.0011656144862847604,7.710796636449464e-05,15.116654494229829,0.0,0.0,0.0,0.0,0.004897613542481235,0.00862560014080722,0.049836880557266955
train_elephant_footfall_0009,0,elephant_footfall,20,5.0,17.062935120949593,0.00151397840276862,0.021632891696094468,0.0015797847206213275,0.0008030371466830627,0.0238,29.7069325547388,1.81254616407911e-05,0.0029045021288961618,0.00025446886420442676,2.3764164158631138e-05,10.70809234045809,0.0,0.0,0.0,0.0,0.0012979867128193997,0.0017952975489337723,0.011570521615349553
train_elephant_footfall_0010,0,elephant_footfall,30,5.0,13.393013267941942,0.005518490389503711,0.05801828616212285,0.005639620044280158,0.0033545826695750712,0.028,24.140865441703415,8.79588544975586e-05,0.006678246480326763,0.0012983875305539452,0.00010850821038099543,11.965799878138531,0.0,0.0,0.0,0.0,0.00559189851336211,0.0055326315874842805,0.026176692526117304
train_elephant_footfall_0011,0,elephant_footfall,35,5.0,16.914279224321962,0.005998556212039975,0.05785748860788978,0.0060629548724740285,0.003737027785989714,0.0266,24.89271709435033,9.337912125977383e-05,0.007863679962469889,0.0014396876855306152,8.482978366590457e-05,16.971488353674363,0.0,0.0,0.0,0.0,0.006115997321925104,0.005877052409386422,0.028907141452504243
train_elephant_footfall_0012,0,elephant_footfall,30,5.0,19.447096904038034,0.003296833753826065,0.036720752106472784,0.003377762177127619,0.001822852252597976,0.0266,24.210772632756075,4.576856508759918e-05,0.004565183485646623,0.0006430542522062324,5.636436143106173e-05,11.408880290300827,0.0,0.0,0.0,0.0,0.002998043470472361,0.0036403868699627093,0.01790427774687049
train_elephant_footfall_0013,0,elephant_footfall,40,5.0,18.641672971204006,0.0031017339877019885,0.03296117321318311,0.0030999019154131246,0.0016240618307236964,0.0258,21.83231687468873,4.09997070074133e-05,0.004432161805171839,0.0005977956614904469,4.858774197128357e-05,12.303425457469444,0.0,0.0,0.0,0.0,0.0026536863902440404,0.00340960730802446,0.017560288362538236
train_elephant_footfall_0014,0,elephant_footfall,20,5.0,12.304476751091672,0.0038705043816923577,0.03684121299342791,0.003834686175991852,0.0021953561665817283,0.0406,22.427334923335625,5.6569049924591384e-05,0.005160318078300445,0.0008146559729217753,7.525023835268005e-05,10.82595870465786,0.0,0.0,0.0,0.0,0.0035685292652221207,0.003980162893547647,0.017909607691144944
train_elephant_footfall_0015,0,elephant_footfall,35,5.0,18.384365287304504,0.0023366013037879134,0.030208414354458375,0.0025235442060291737,0.0011173827251488475,0.0294,36.47524200919725,2.873065272998949e-05,0.004025313645653908,0.0004324302585234187,2.471284143540351e-05,17.498200668415286,1.678,0.5959475566150179,1.0,0.423042491871621,0.0019208865437128943,0.0029735339868299775,0.016458482935706377
